ts_utc,symbol,setup,side,entry,sl,tp,was_executed,skip_reason
2026-04-27 17:54:10,XRPUSD,RG2,SELL,1.3929,1.4,1.39,N,error:circuito alpaca abierto
2026-04-27 17:54:10,SOLUSD,RG2,SELL,84.48,84.73,84.23,N,error:circuito alpaca abierto
2026-04-27 17:54:16,AVAXUSD,RG2,SELL,9.18,9.21,9.15,N,error:circuito alpaca abierto
2026-04-27 17:54:16,XRPUSD,RG2,SELL,1.3929,1.4,1.39,N,error:circuito alpaca abierto
2026-04-27 17:54:16,SOLUSD,RG2,SELL,84.48,84.73,84.23,N,error:circuito alpaca abierto
2026-04-27 18:26:34,SOLUSD,SMC,SELL,84.52,84.73,84.1,N,insufficient_balance
2026-04-27 18:26:34,BTCUSD,RG2,SELL,76711.57,76941.7,76481.44,N,error:circuito alpaca abierto
2026-04-27 18:26:34,XRPUSD,SMC,SELL,1.4,1.4,1.39,N,error:circuito alpaca abierto
2026-04-27 18:26:59,ETHUSD,RG2,SELL,2285.8,2292.66,2278.94,N,error:circuito alpaca abierto
2026-04-27 18:27:03,BNBUSD,RG2,SELL,622.31,624.18,620.44,N,error:circuito alpaca abierto
2026-04-27 18:27:04,ETHUSD,RG2,SELL,2285.8,2292.66,2278.94,N,error:circuito alpaca abierto
2026-04-27 18:27:08,BNBUSD,RG2,SELL,622.31,624.18,620.44,N,error:circuito alpaca abierto
2026-04-27 18:27:10,ETHUSD,RG2,SELL,2285.8,2292.66,2278.94,N,error:circuito alpaca abierto
2026-04-27 18:27:14,BNBUSD,RG2,SELL,622.31,624.18,620.44,N,error:circuito alpaca abierto
2026-04-27 18:27:15,ETHUSD,RG2,SELL,2285.8,2292.66,2278.94,N,error:circuito alpaca abierto
2026-04-27 18:27:19,BNBUSD,RG2,SELL,622.31,624.18,620.44,N,error:circuito alpaca abierto
2026-04-27 18:27:59,SOLUSD,RG2,SELL,84.49,84.74,84.24,N,error:circuito alpaca abierto
2026-04-27 18:28:05,SOLUSD,RG2,SELL,84.49,84.74,84.24,N,error:circuito alpaca abierto
2026-04-27 18:28:10,SOLUSD,RG2,SELL,84.49,84.74,84.24,N,error:circuito alpaca abierto
2026-04-27 18:28:10,AVAXUSD,RG2,SELL,9.17,9.2,9.14,N,error:circuito alpaca abierto
2026-04-27 18:28:16,SOLUSD,RG2,SELL,84.49,84.74,84.24,N,error:circuito alpaca abierto
2026-04-27 18:28:16,AVAXUSD,RG2,SELL,9.17,9.2,9.14,N,error:circuito alpaca abierto
2026-04-27 18:28:22,AVAXUSD,RG2,SELL,9.17,9.2,9.14,N,error:circuito alpaca abierto
2026-04-27 18:28:27,AVAXUSD,RG2,SELL,9.17,9.2,9.14,N,error:circuito alpaca abierto
2026-04-27 19:04:28,XRPUSD,RG2,SELL,1.3944,1.4,1.39,N,insufficient_balance
2026-04-27 19:04:29,SOLUSD,RG2,SELL,84.49,84.74,84.24,N,error:circuito alpaca abierto
2026-04-27 19:05:59,BTCUSD,RG2,SELL,76748.45,76978.7,76518.2,N,error:circuito alpaca abierto
2026-04-27 19:06:05,BTCUSD,RG2,SELL,76748.45,76978.7,76518.2,N,error:circuito alpaca abierto
2026-04-27 19:06:10,BTCUSD,RG2,SELL,76748.45,76978.7,76518.2,N,error:circuito alpaca abierto
2026-04-27 19:06:16,BTCUSD,RG2,SELL,76748.45,76978.7,76518.2,N,error:circuito alpaca abierto
2026-04-27 19:20:36,AVAXUSD,RG2,SELL,9.18,9.21,9.15,N,insufficient_balance
2026-04-27 19:21:59,ETHUSD,RG2,SELL,2287.39,2294.25,2280.53,N,error:circuito alpaca abierto
2026-04-27 19:22:05,ETHUSD,RG2,SELL,2287.39,2294.25,2280.53,N,error:circuito alpaca abierto
2026-04-27 19:22:10,ETHUSD,RG2,SELL,2287.39,2294.25,2280.53,N,error:circuito alpaca abierto
2026-04-27 19:22:16,ETHUSD,RG2,SELL,2287.39,2294.25,2280.53,N,error:circuito alpaca abierto
2026-04-27 19:23:28,BTCUSD,RG2,SELL,76795.06,77025.45,76564.67,N,insufficient_balance
2026-04-27 19:53:28,ETHUSD,SMC,SELL,2286.9,2289.22,2282.27,N,insufficient_balance
2026-04-27 20:13:32,XRPUSD,RG2,SELL,1.3908,1.39,1.39,N,insufficient_balance
2026-04-27 20:15:01,SOLUSD,RG2,SELL,84.19,84.44,83.94,N,error:circuito alpaca abierto
